"","Year","District.Code","District.Name","Neighborhood.Code","Neighborhood.Name","Age","Death_Number","By_Age_Immigrants","By_Age_Emigrants","Spain","Italy","Colombia","Venezuela","Pakistan","France","Morocco","United Kingdom","India","Germany","Bangladesh","Philippines","United States","China","Peru","Argentina","Brasil","Dominican Republic","Honduras","Population_Number_Male","Population_Number_Female","By_Sex_Immigrants_Male","By_Sex_Immigrants_Female","By_Sex_Emigrants_Male","By_Sex_Emigrants_Female","Birth_Number_Male","Birth_Number_Female","Unemployment_Number_Male_Registered unemployed","Unemployment_Number_Male_Unemployment demand","Unemployment_Number_Female_Registered unemployed","Unemployment_Number_Female_Unemployment demand"
"59",2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","0-4",1,29,18,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2,48.25,190,220,140,128,34,29,2179,761,2754,655
"60",2017,10,"Sant Martí",68,"el Poblenou","0-4",0,94,75,666,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.2,167.25,874,891,513,506,160,157,7505,2566,9502,2263
"61",2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","0-4",0,68,61,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.2,94.8,379,401,263,223,103,58,3775,1007,4245,964
"62",2017,10,"Sant Martí",70,"el Besòs i el Maresme","0-4",1,125,67,538,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.75,105.2,1146,870,519,470,119,99,8648,2269,9739,2217
"63",2017,10,"Sant Martí",71,"Provençals del Poblenou","0-4",0,53,38,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.666666666667,101.4,469,505,311,306,106,80,5496,1500,6906,1654
"64",2017,10,"Sant Martí",72,"Sant Martí de Provençals","0-4",0,48,38,462,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,103.8,99.8,536,537,357,363,100,98,7584,2026,9784,2425
"65",2017,10,"Sant Martí",73,"la Verneda i la Pau","0-4",1,70,50,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,102.5,602,638,389,421,122,107,8589,2286,11083,2757
"66",2017,1,"Ciutat Vella",1,"el Raval","5-9",0,133,85,1109,360,104,106,605,209,166,150,203,101,470,293,0,0,0,0,0,0,0,228.4,203.4,3063,2337,1195,910,283,219,23763,5131,17053,3659
"67",2017,1,"Ciutat Vella",2,"el Barri Gòtic","5-9",0,46,20,482,275,0,0,262,147,0,0,115,0,0,0,0,0,0,0,0,0,0,46.25,40.75,1499,1188,427,353,56,53,5799,1665,4723,1339
"68",2017,1,"Ciutat Vella",3,"la Barceloneta","5-9",0,26,23,414,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,36.6,910,849,361,353,51,50,6128,2159,5957,1722
"69",2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","5-9",0,39,26,537,355,0,0,0,157,148,118,0,0,0,0,105,0,0,0,0,0,0,80,73.2,1438,1327,502,528,90,90,8464,2937,8232,2369
"70",2017,2,"Eixample",5,"el Fort Pienc","5-9",0,59,42,663,207,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,134.25,114.75,1082,1155,495,586,117,114,6998,2144,8376,2367
"71",2017,2,"Eixample",6,"la Sagrada Família","5-9",0,81,44,1181,295,155,225,0,0,0,0,0,0,0,0,0,210,115,105,0,0,0,180.75,169.2,1693,1898,796,890,207,183,11171,3550,13872,3872
"72",2017,2,"Eixample",7,"la Dreta de l'Eixample","5-9",0,75,60,1063,284,101,0,0,202,0,0,0,0,0,0,124,0,0,0,0,0,0,190,173.2,1543,1657,666,803,185,159,7341,1825,8927,2545
"73",2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","5-9",0,63,34,1177,280,163,135,0,125,0,0,0,0,0,0,0,105,0,106,119,0,0,160.2,142.2,1693,1774,702,672,176,164,8384,2206,9540,2580
"74",2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","5-9",0,91,53,1593,314,174,129,0,0,0,0,0,0,0,0,0,200,132,101,118,0,0,214,189.2,1927,2135,925,1034,218,242,12553,3958,14307,4486
"75",2017,2,"Eixample",10,"Sant Antoni","5-9",1,43,37,883,188,106,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,133.5,124.5,1253,1237,632,682,172,130,9372,2750,10094,3089
"76",2017,3,"Sants-Montjuïc",11,"el Poble Sec","5-9",0,60,57,826,270,0,0,198,0,133,0,138,0,0,0,0,0,0,0,0,105,0,162,148.2,1595,1492,887,790,156,174,13611,3634,14078,3397
"77",2017,3,"Sants-Montjuïc",13,"la Marina de Port","5-9",2,54,41,574,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,159,130.6,724,775,516,511,119,117,9110,2339,11951,2474
"78",2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","5-9",0,13,9,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,34.2,351,295,193,200,42,30,3404,907,3578,854
"79",2017,3,"Sants-Montjuïc",15,"Hostafrancs","5-9",0,22,14,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8,53.6,584,575,319,330,78,64,3786,1197,4892,1437
"80",2017,3,"Sants-Montjuïc",16,"la Bordeta","5-9",0,27,21,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8,70.4,471,474,329,353,81,75,4444,1406,5743,1686
"81",2017,3,"Sants-Montjuïc",17,"Sants - Badal","5-9",0,42,40,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,82,703,773,475,539,108,96,4659,1545,6168,1888
"82",2017,3,"Sants-Montjuïc",18,"Sants","5-9",0,79,45,1083,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.8,152.4,1407,1432,789,863,155,180,9031,2917,11728,3517
"83",2017,4,"Les Corts",19,"les Corts","5-9",0,71,31,1027,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.6,186.2,1054,1222,651,728,199,175,9387,3066,11859,3600
"84",2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","5-9",0,44,43,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.8,84,608,727,415,484,101,105,4606,1525,6097,1866
"85",2017,4,"Les Corts",21,"Pedralbes","5-9",0,40,25,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,71.25,367,397,189,192,32,32,1091,300,1489,381
"86",2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","5-9",0,61,23,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,149.4,606,602,318,379,122,110,2473,717,3112,794
"87",2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","5-9",0,49,27,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.75,94.6,337,365,183,222,74,61,1991,619,2181,553
"88",2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","5-9",0,41,19,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.2,146.6,531,650,299,334,104,95,3036,782,4005,930
"89",2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","5-9",0,80,59,1146,135,0,0,0,114,0,0,0,0,0,0,121,0,0,0,0,0,0,241.8,224.8,1092,1342,598,680,206,199,5833,1406,7114,1866
"90",2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","5-9",1,54,38,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,139.6,733,782,396,485,127,138,5207,1345,6498,1870
"91",2017,6,"Gràcia",28,"Vallcarca i els Penitents","5-9",0,28,13,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.4,70.2,355,417,229,261,66,66,3305,928,4219,1241
"92",2017,6,"Gràcia",29,"el Coll","5-9",0,9,4,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6,32.4,166,206,102,105,26,25,1374,392,1771,531
"93",2017,6,"Gràcia",30,"la Salut","5-9",0,24,10,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,55.4,382,350,184,202,62,42,2778,811,3541,1078
"94",2017,6,"Gràcia",31,"la Vila de Gràcia","5-9",0,58,53,1415,326,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,201.4,175.25,1623,1964,792,933,241,236,11179,3189,13910,3710
"95",2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","5-9",0,34,36,728,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.333333333333,125.2,833,958,457,542,149,144,7089,2173,8961,2583
"96",2017,7,"Horta-Guinardó",33,"el Baix Guinardó","5-9",0,30,25,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.4,89,620,665,371,385,97,93,5468,1717,6983,1992
"97",2017,7,"Horta-Guinardó",34,"Can Baró","5-9",1,13,8,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2,39.5,240,233,135,155,41,38,1988,583,2532,773
"98",2017,7,"Horta-Guinardó",35,"el Guinardó","5-9",0,39,40,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.2,143.6,874,963,524,561,148,170,8953,2232,11043,3028
"99",2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","5-9",0,4,5,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40.6,121,162,97,100,26,33,2746,647,3381,858
"100",2017,7,"Horta-Guinardó",37,"el Carmel","5-9",0,50,36,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.8,148.5,671,743,461,500,123,136,9346,2214,11524,2937
"101",2017,7,"Horta-Guinardó",38,"la Teixonera","5-9",0,16,11,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,50.4,246,266,186,189,48,41,2849,700,3453,888
"102",2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","5-9",0,15,4,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.25,27.6666666666667,213,173,98,111,28,27,1723,427,2078,539
"103",2017,7,"Horta-Guinardó",40,"Montbau","5-9",0,6,5,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,21.75,129,127,87,82,26,17,1249,311,1503,388
"104",2017,7,"Horta-Guinardó",43,"Horta","5-9",0,33,22,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.8,105.2,521,606,329,354,99,91,7921,1919,9482,2315
"105",2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","5-9",0,35,26,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.25,103.6,509,547,336,372,92,108,7332,1819,8802,2164
"106",2017,8,"Nou Barris",45,"Porta","5-9",0,57,22,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,105,107,647,751,369,371,104,117,7073,1727,8684,2200
"107",2017,8,"Nou Barris",46,"el Turó de la Peira","5-9",0,36,14,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,65.6,409,469,221,263,82,92,4612,1140,5425,1292
"108",2017,8,"Nou Barris",48,"la Guineueta","5-9",0,20,11,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.6,68.8,218,275,156,207,47,40,5245,1185,6336,1545
"109",2017,8,"Nou Barris",49,"Canyelles","5-9",0,3,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25.5,62,78,60,55,35,14,2557,578,3091,754
"110",2017,8,"Nou Barris",50,"les Roquetes","5-9",0,32,17,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,79.8,81.4,413,507,253,302,88,83,5548,1254,6701,1632
"111",2017,8,"Nou Barris",51,"Verdun","5-9",0,36,25,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,55.2,56.8,305,361,203,201,50,48,4254,962,5137,1252
"112",2017,8,"Nou Barris",52,"la Prosperitat","5-9",0,35,35,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,118.2,119,571,635,342,379,127,124,7962,1945,9771,2474
"113",2017,8,"Nou Barris",53,"la Trinitat Nova","5-9",0,21,18,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,34.75,221,237,156,167,38,28,3861,720,4047,886
"114",2017,8,"Nou Barris",55,"Ciutat Meridiana","5-9",0,42,24,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,57.5,59.2,409,429,230,204,49,53,5593,1023,5782,1250
"115",2017,9,"Sant Andreu",57,"la Trinitat Vella","5-9",0,38,20,174,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,61.2,368,307,237,223,65,55,5181,950,5357,1157
